arm,seed,targeting_mode,intervention_tick,withdrawal_tick,n_ticks_total,peak_gap,final_gap,recovery_fraction,point,window,affective,ideological,structural
composition,3,distance,60,1060,1120,0.040922610992818687,0.02868674262508142,0.29900018769292314,consolidated_two_camp_LHS1,1000,0.9464207024421489,0.8848701602854708,0.7318724839295598
composition,4,distance,60,1060,1120,0.028835470859436274,0.02083600819616782,0.2774174454186402,consolidated_two_camp_LHS1,1000,0.9464207024421489,0.8848701602854708,0.7318724839295598
engagement,0,distance,60,1060,1120,0.047821420973648054,0.03608778000406221,0.24536370376889594,cross_cut_LHS0,1000,0.6713722911991205,0.5867149138882022,0.012553017635084669
engagement,1,distance,60,1060,1120,0.050720739042507956,0.03929259548611941,0.22531500471258648,cross_cut_LHS0,1000,0.6713722911991205,0.5867149138882022,0.012553017635084669
engagement,2,distance,60,1060,1120,0.04305199074307797,0.03317783251198425,0.22935427748323856,cross_cut_LHS0,1000,0.6713722911991205,0.5867149138882022,0.012553017635084669
engagement,3,distance,60,1060,1120,0.04467590902915153,0.03515594043959647,0.2130895329593221,cross_cut_LHS0,1000,0.6713722911991205,0.5867149138882022,0.012553017635084669
engagement,4,distance,60,1060,1120,0.05188171492312943,0.03948746632409694,0.23889435068590992,cross_cut_LHS0,1000,0.6713722911991205,0.5867149138882022,0.012553017635084669
composition,0,distance,60,1060,1120,-0.02520746470937718,-0.020982412580236254,0.16761114923109288,cross_cut_LHS0,1000,0.6713722911991205,0.5867149138882022,0.012553017635084669
composition,1,distance,60,1060,1120,-0.030039607236989507,-0.023856635837229856,0.205827304963768,cross_cut_LHS0,1000,0.6713722911991205,0.5867149138882022,0.012553017635084669
composition,2,distance,60,1060,1120,-0.02008546462529326,-0.017155666731434316,0.14586657309233975,cross_cut_LHS0,1000,0.6713722911991205,0.5867149138882022,0.012553017635084669
composition,3,distance,60,1060,1120,-0.021735996998950124,-0.01862341014493296,0.1431996358008103,cross_cut_LHS0,1000,0.6713722911991205,0.5867149138882022,0.012553017635084669
composition,4,distance,60,1060,1120,-0.027704389155198905,-0.022294146431344863,0.195284678306606,cross_cut_LHS0,1000,0.6713722911991205,0.5867149138882022,0.012553017635084669
