arm,seed,targeting_mode,delta_aff_plateau,delta_aff_per_contact,delta_aff_per_cross_contact,delta_aff_level_none,toward_other_camp,toward_mean,toward_own_pole,delta_k,delta_bic_margin,ideo_level_toward_other_camp,ideo_level_toward_mean,ideo_level_toward_own_pole,diversity_ratio_arm,diversity_ratio_none,diversity_floor_break_even,swept_dial,level,affective,ideological,structural
engagement,3,camp_pair,0.006998159909068491,1.372834257114817e-7,1.59306151040736e-7,0.014709516658184096,0.002316218281213131,0.002366243284657621,-0.0021464103131897568,0.0,-0.000051649676959641955,-0.0347701296362232,-0.03405564165705683,0.03337061784671902,1.0244152889689164,1.0271045978264455,NaN,affective,0.9,0.9,0.7,0.7
composition,3,camp_pair,-0.010308293714587968,-2.0166077263117882e-7,-2.3344642332105824e-7,0.014709516658184096,0.00022265266230454134,0.0002728936492138248,-0.00016698695338531605,0.0,-0.0001063764550013821,-0.0347701296362232,-0.03405564165705683,0.03337061784671902,1.0264319212197521,1.0271045978264455,1.0264319212197521,affective,0.9,0.9,0.7,0.7
exposure,4,camp_pair,0.00591598994942677,1.0998512613037553e-7,1.2599544127074945e-7,0.014450160779364563,-0.006815861874558078,-0.006715179276206008,0.006404104169513092,0.0,-0.0005034619999115877,-0.02763853912806869,-0.027069714674135565,0.026364787081316357,1.0234830961575077,1.018873628022922,NaN,affective,0.9,0.9,0.7,0.7
engagement,4,camp_pair,0.007649154949150194,1.4164314851304918e-7,1.634469742761639e-7,0.014450160779364563,0.000031545033687043617,0.00007033298217263423,-0.000046582529282437196,0.0,-0.0006596412726587175,-0.02763853912806869,-0.027069714674135565,0.026364787081316357,1.018525608749281,1.018873628022922,NaN,affective,0.9,0.9,0.7,0.7
composition,4,camp_pair,-0.008749203246249504,-1.6267297423489336e-7,-1.883250085291985e-7,0.014450160779364563,0.00038998358247159526,0.00046750933784470844,-0.0003773868446830704,0.0,-0.0009321347222130752,-0.02763853912806869,-0.027069714674135565,0.026364787081316357,1.018204521236554,1.018873628022922,1.018204521236554,affective,0.9,0.9,0.7,0.7
exposure,0,camp_pair,0.0,0.0,0.0,-0.0005556035156144556,NaN,NaN,NaN,0.0,8.43961039700969e-6,NaN,NaN,NaN,0.9973520257699073,0.9972883015457459,NaN,ideological,0.1,0.7,0.1,0.7
engagement,0,camp_pair,0.0,0.0,0.0,-0.0005556035156144556,NaN,NaN,NaN,0.0,0.0,NaN,NaN,NaN,0.9972883015457459,0.9972883015457459,NaN,ideological,0.1,0.7,0.1,0.7
composition,0,camp_pair,0.0,0.0,0.0,-0.0005556035156144556,NaN,NaN,NaN,0.0,0.0,NaN,NaN,NaN,0.9972883015457459,0.9972883015457459,NaN,ideological,0.1,0.7,0.1,0.7
exposure,1,camp_pair,0.0,0.0,0.0,-0.0012571482800791678,NaN,NaN,NaN,0.0,0.00034430980067470807,NaN,NaN,NaN,0.9972810998441094,0.9976613687029338,NaN,ideological,0.1,0.7,0.1,0.7
engagement,1,camp_pair,0.0,0.0,0.0,-0.0012571482800791678,NaN,NaN,NaN,0.0,0.0,NaN,NaN,NaN,0.9976613687029338,0.9976613687029338,NaN,ideological,0.1,0.7,0.1,0.7
composition,1,camp_pair,0.0,0.0,0.0,-0.0012571482800791678,NaN,NaN,NaN,0.0,0.0,NaN,NaN,NaN,0.9976613687029338,0.9976613687029338,NaN,ideological,0.1,0.7,0.1,0.7
exposure,2,camp_pair,0.0,0.0,0.0,0.0009557606624088777,NaN,NaN,NaN,0.0,0.000013724488494598619,NaN,NaN,NaN,0.9987593758373777,0.9983969909439827,NaN,ideological,0.1,0.7,0.1,0.7
engagement,2,camp_pair,0.0,0.0,0.0,0.0009557606624088777,NaN,NaN,NaN,0.0,0.0,NaN,NaN,NaN,0.9983969909439827,0.9983969909439827,NaN,ideological,0.1,0.7,0.1,0.7
composition,2,camp_pair,0.0,0.0,0.0,0.0009557606624088777,NaN,NaN,NaN,0.0,0.0,NaN,NaN,NaN,0.9983969909439827,0.9983969909439827,NaN,ideological,0.1,0.7,0.1,0.7
exposure,3,camp_pair,0.0,0.0,0.0,0.0000576253075625921,NaN,NaN,NaN,0.0,-0.00002552621490445328,NaN,NaN,NaN,0.9985701203564878,0.9986833779315695,NaN,ideological,0.1,0.7,0.1,0.7
engagement,3,camp_pair,0.0,0.0,0.0,0.0000576253075625921,NaN,NaN,NaN,0.0,0.0,NaN,NaN,NaN,0.9986833779315695,0.9986833779315695,NaN,ideological,0.1,0.7,0.1,0.7
composition,3,camp_pair,0.0,0.0,0.0,0.0000576253075625921,NaN,NaN,NaN,0.0,0.0,NaN,NaN,NaN,0.9986833779315695,0.9986833779315695,NaN,ideological,0.1,0.7,0.1,0.7
exposure,4,camp_pair,0.0,0.0,0.0,0.0005949323527512096,NaN,NaN,NaN,0.0,0.000019701801805743768,NaN,NaN,NaN,0.9974190109072315,0.9975043250131955,NaN,ideological,0.1,0.7,0.1,0.7
engagement,4,camp_pair,0.0,0.0,0.0,0.0005949323527512096,NaN,NaN,NaN,0.0,0.0,NaN,NaN,NaN,0.9975043250131955,0.9975043250131955,NaN,ideological,0.1,0.7,0.1,0.7
composition,4,camp_pair,0.0,0.0,0.0,0.0005949323527512096,NaN,NaN,NaN,0.0,0.0,NaN,NaN,NaN,0.9975043250131955,0.9975043250131955,NaN,ideological,0.1,0.7,0.1,0.7
exposure,0,camp_pair,0.002869702764976889,6.521755295161331e-8,8.030285328455589e-8,0.006554430341378037,-0.0018288482939587138,-0.0018255793770072873,0.0015778091077645025,0.0,-0.0009856683761621104,-0.0038980661000477747,-0.0033173077959355217,0.003950431618163425,1.004860490285367,1.0031758358731737,NaN,ideological,0.5,0.7,0.5,0.7
engagement,0,camp_pair,0.0039321390208597595,8.671221957041831e-8,1.0692133513323253e-7,0.006554430341378037,-0.00038705617452230697,-0.0003297685514460258,0.00034890443724410955,0.0,-0.000014597865127946585,-0.0038980661000477747,-0.0033173077959355217,0.003950431618163425,1.0035545853703458,1.0031758358731737,NaN,ideological,0.5,0.7,0.5,0.7
composition,0,camp_pair,-0.009049731078976997,-1.9949586841648472e-7,-2.462913966627748e-7,0.006554430341378037,-0.0007456837702461273,-0.0007310099324531671,0.0006695435339230341,0.0,0.00017723659074526943,-0.0038980661000477747,-0.0033173077959355217,0.003950431618163425,1.0039321478878043,1.0031758358731737,1.0039321478878043,ideological,0.5,0.7,0.5,0.7
exposure,1,camp_pair,0.002597067194789471,5.9147927366071574e-8,7.299438418138427e-8,0.006766371699221896,-0.0010826551816770077,-0.0010131808572352674,0.0010380053096357231,0.0,0.00013524793828305348,-0.00418268945539467,-0.003450736337535665,0.0041888840209839216,1.0039819245071973,1.0030841034935871,NaN,ideological,0.5,0.7,0.5,0.7
engagement,1,camp_pair,0.004338833230991934,9.572081783868545e-8,1.182017934179294e-7,0.006766371699221896,-0.0007791121794743245,-0.0007212326730665374,0.0007930592966637852,0.0,-0.0009736669821452382,-0.00418268945539467,-0.003450736337535665,0.0041888840209839216,1.0036849827650591,1.0030841034935871,NaN,ideological,0.5,0.7,0.5,0.7
composition,1,camp_pair,-0.008777557248776269,-1.9132805651581987e-7,-2.3679608419057594e-7,0.006766371699221896,-0.0006352348445494956,-0.0006656309222457225,0.0005997993801783487,0.0,-0.0014550694527180191,-0.00418268945539467,-0.003450736337535665,0.0041888840209839216,1.0036302522427574,1.0030841034935871,1.0036302522427574,ideological,0.5,0.7,0.5,0.7
exposure,2,camp_pair,0.0032235509808880014,7.269254664309396e-8,8.917400151838229e-8,0.00899380767203839,-0.0016243072968717045,-0.0016313962450665801,0.0014489232230816048,0.0,0.00006208088776998855,-0.0064880337464198,-0.006010365559009356,0.006367311380262286,1.0073296298018606,1.0057467998646128,NaN,ideological,0.5,0.7,0.5,0.7
engagement,2,camp_pair,0.003672165825963969,8.090609469383909e-8,9.929334629326904e-8,0.00899380767203839,-0.0006537367344986045,-0.0007207375449618282,0.0005599832274401431,0.0,-0.00001689593713082721,-0.0064880337464198,-0.006010365559009356,0.006367311380262286,1.006316840321391,1.0057467998646128,NaN,ideological,0.5,0.7,0.5,0.7
composition,2,camp_pair,-0.00993656859737313,-2.2157090035617735e-7,-2.738855732462274e-7,0.00899380767203839,-0.000491135465819888,-0.0005369568613711297,0.00043994232133060755,0.0,0.000019214969242141444,-0.0064880337464198,-0.006010365559009356,0.006367311380262286,1.0063808553694191,1.0057467998646128,1.0063808553694191,ideological,0.5,0.7,0.5,0.7
