arm,seed,delta_aff_plateau,delta_aff_per_contact,delta_aff_per_cross_contact,toward_other_camp,toward_mean,toward_own_pole,delta_k,delta_bic_margin,ideo_level_toward_other_camp,ideo_level_toward_mean,ideo_level_toward_own_pole,swept_dial,level,affective,ideological,structural
exposure,4,0.00003270341843941704,9.971466426629582e-10,1.608865963468148e-9,NaN,NaN,NaN,0.0,0.000016184172133185126,NaN,NaN,NaN,ideological,0.1,0.5,0.1,0.5
engagement,4,0.0,0.0,0.0,NaN,NaN,NaN,0.0,0.0,NaN,NaN,NaN,ideological,0.1,0.5,0.1,0.5
composition,4,-0.006100202332066096,-1.90989428054668e-7,-3.107433310613874e-7,NaN,NaN,NaN,0.0,0.0,NaN,NaN,NaN,ideological,0.1,0.5,0.1,0.5
exposure,0,0.0004846678662224768,1.071728691644687e-8,1.2768866512697969e-8,-0.0007101236725665667,-0.0006950245677305518,0.0005970340857186169,0.0,6.3390905283775e-6,-0.0024038779815703537,-0.0018899123575542682,0.0026181206025000063,ideological,0.5,0.5,0.5,0.5
engagement,0,0.0015489887890610676,3.147903324854325e-8,3.724605148266489e-8,-0.0007434862718402545,-0.0007343596868933575,0.0006463335217912623,0.0,0.00002507226811308133,-0.0024038779815703537,-0.0018899123575542682,0.0026181206025000063,ideological,0.5,0.5,0.5,0.5
composition,0,-0.011263498580655229,-2.2832958809355825e-7,-2.710047298170259e-7,-0.0009618888463694647,-0.0009359356339177971,0.0008567263011215538,0.0,0.00013447364844023507,-0.0024038779815703537,-0.0018899123575542682,0.0026181206025000063,ideological,0.5,0.5,0.5,0.5
exposure,1,-0.00038819322185335015,-8.56560507178619e-9,-1.0233924439875307e-8,-0.0008801830900045048,-0.0008983459315091667,0.0007171722913116361,0.0,-0.0012656744695719868,-0.002825639481451539,-0.002118968528436027,0.003153314289598864,ideological,0.5,0.5,0.5,0.5
engagement,1,0.0014575849031155386,2.9551230701393614e-8,3.506001113954728e-8,-0.001193239717561639,-0.0012317310301750047,0.0009583611609656831,0.0,0.0000533446181143829,-0.002825639481451539,-0.002118968528436027,0.003153314289598864,ideological,0.5,0.5,0.5,0.5
composition,1,-0.01210446246329433,-2.4209893322321555e-7,-2.8652327944170644e-7,-0.0008913960182698557,-0.0008739518466944558,0.0007166679546417427,0.0,0.00013353635802473146,-0.002825639481451539,-0.002118968528436027,0.003153314289598864,ideological,0.5,0.5,0.5,0.5
exposure,2,0.00032551425729254735,7.200368458957427e-9,8.604659193564562e-9,-0.0010747238747279963,-0.001096716948016949,0.0009180791929033782,0.0,0.00020013254403043051,-0.003800007062535863,-0.003430356753022025,0.0038077970744567866,ideological,0.5,0.5,0.5,0.5
engagement,2,0.001452241678513766,2.943872369329156e-8,3.483847135693333e-8,-0.0009481774356724908,-0.0009300358564815377,0.0008708598122068325,0.0,0.00008197200964176615,-0.003800007062535863,-0.003430356753022025,0.0038077970744567866,ideological,0.5,0.5,0.5,0.5
composition,2,-0.01167580252300604,-2.38135886661351e-7,-2.833176220670704e-7,-0.0005208587923179282,-0.000511544019648009,0.0005061083747051284,0.0,-4.814280789987302e-6,-0.003800007062535863,-0.003430356753022025,0.0038077970744567866,ideological,0.5,0.5,0.5,0.5
exposure,3,0.0004349235326671641,9.80043112954987e-9,1.1758821549927383e-8,-0.001283012348172735,-0.0012898997954792883,0.0011985521031078407,0.0,0.00006266105984368414,-0.0020785785594460023,-0.0018688782275050567,0.0021612158452334472,ideological,0.5,0.5,0.5,0.5
engagement,3,0.00227271346082214,4.655101103646184e-8,5.536047209271284e-8,-0.0009003553941462805,-0.0008548916770923052,0.0009268764306824416,0.0,0.000023381418699168488,-0.0020785785594460023,-0.0018688782275050567,0.0021612158452334472,ideological,0.5,0.5,0.5,0.5
