swept_dial,level,seed,arm,d_cross,bimodality0,total_contact,cross_contact,frac
ideological,0.1,2,none,NaN,0.33713230438711095,NaN,NaN,NaN
ideological,0.1,2,engagement,NaN,0.33713230438711095,NaN,NaN,NaN
ideological,0.1,2,composition,NaN,0.33713230438711095,NaN,NaN,NaN
ideological,0.1,2,exposure,NaN,0.33713230438711095,NaN,NaN,NaN
ideological,0.1,3,none,NaN,0.3457757049464406,NaN,NaN,NaN
ideological,0.1,3,engagement,NaN,0.3457757049464406,NaN,NaN,NaN
ideological,0.1,3,composition,NaN,0.3457757049464406,NaN,NaN,NaN
ideological,0.1,3,exposure,NaN,0.3457757049464406,NaN,NaN,NaN
ideological,0.1,4,none,NaN,0.3494509231153843,NaN,NaN,NaN
ideological,0.1,4,engagement,NaN,0.3494509231153843,NaN,NaN,NaN
ideological,0.1,4,composition,NaN,0.3494509231153843,NaN,NaN,NaN
ideological,0.1,4,exposure,NaN,0.3494509231153843,NaN,NaN,NaN
ideological,0.5,0,none,1.9780015723196953,0.5846570223753383,43509.0,17802.0,0.40915672619458043
ideological,0.5,0,engagement,1.9780015723196953,0.5846570223753383,49450.0,21672.0,0.43826086956521737
ideological,0.5,0,composition,1.9780015723196953,0.5846570223753383,49569.0,21746.0,0.43870160785975104
ideological,0.5,0,exposure,1.9780015723196953,0.5846570223753383,45867.0,19805.0,0.43179192011685963
ideological,0.5,1,none,1.9431444820546693,0.5985586135682078,43720.0,18633.0,0.4261893870082342
ideological,0.5,1,engagement,1.9431444820546693,0.5985586135682078,49940.0,22978.0,0.46011213456147376
ideological,0.5,1,composition,1.9431444820546693,0.5985586135682078,49596.0,22594.0,0.4555609323332527
ideological,0.5,1,exposure,1.9431444820546693,0.5985586135682078,45547.0,20215.0,0.4438272553625925
ideological,0.5,2,none,1.919407751774918,0.5943648974076601,43291.0,18543.0,0.4283338338222725
ideological,0.5,2,engagement,1.919407751774918,0.5943648974076601,48997.0,22553.0,0.46029348735636877
ideological,0.5,2,composition,1.919407751774918,0.5943648974076601,49394.0,22934.0,0.46430740575778434
ideological,0.5,2,exposure,1.919407751774918,0.5943648974076601,45672.0,20555.0,0.45005692765808375
ideological,0.5,3,none,1.9523315406225974,0.5690505034407314,42464.0,16965.0,0.3995148831951771
