arm,seed,targeting_mode,delta_aff_plateau,delta_aff_per_contact,delta_aff_per_cross_contact,toward_other_camp,toward_mean,toward_own_pole,delta_k,delta_bic_margin,ideo_level_toward_other_camp,ideo_level_toward_mean,ideo_level_toward_own_pole,diversity_ratio_arm,diversity_ratio_none,diversity_floor_break_even,scenario,lhs_index,affective,ideological,structural
composition,0,distance,-0.010973486555860834,-1.7458692455310456e-7,-2.0806762525333397e-7,-0.0085130351113132,-0.008605787940647983,0.008137505394049673,0.0,-0.0046346493140405,-0.002824872472852277,-0.002498518335703731,0.0030224432505493743,1.0055402805820979,1.001282418528387,1.0055402805820979,consolidated_two_camp,4,0.48089390252091246,0.9661062054044791,0.9066717840672841
exposure,1,distance,0.0014898370579697895,3.4491759456632624e-8,4.106949658092925e-8,-0.003078557178522585,-0.003033790866918178,0.002990948934768521,0.0,0.0057623906247590145,-0.0036735946552546718,-0.003325092030577757,0.003871666895090117,1.003272860877478,1.0017701272019495,NaN,consolidated_two_camp,4,0.48089390252091246,0.9661062054044791,0.9066717840672841
engagement,1,distance,0.0068657313620743565,1.0710133939746286e-7,1.2801557581433392e-7,-0.008149153280561004,-0.008684279194981728,0.007665121289713273,0.0,0.005765852020126694,-0.0036735946552546718,-0.003325092030577757,0.003871666895090117,1.0061255094049366,1.0017701272019495,NaN,consolidated_two_camp,4,0.48089390252091246,0.9661062054044791,0.9066717840672841
composition,1,distance,-0.010923085946419886,-1.6820015008114883e-7,-2.0074773848452338e-7,-0.008254116446055018,-0.008658469304367856,0.007793834651619447,0.0,0.005814340449962797,-0.0036735946552546718,-0.003325092030577757,0.003871666895090117,1.0061448091776366,1.0017701272019495,1.0061448091776366,consolidated_two_camp,4,0.48089390252091246,0.9661062054044791,0.9066717840672841
exposure,0,camp_pair,0.00251193287131235,5.5734033088802976e-8,6.59559635371498e-8,-0.007122484989913086,-0.007092524579534623,0.006956312659453526,0.0,-0.0003288650415214575,-0.010478283675798445,-0.009919837595728424,0.010383716389163824,1.0100950164343205,1.0056125390154316,NaN,consolidated_two_camp,5,0.8220626578865291,0.8252463355872511,0.854053145059346
engagement,0,camp_pair,0.003275133249179607,7.594335781615746e-8,9.147650334272567e-8,-0.0005055500100085413,-0.0005416203435584816,0.0005439130733234862,0.0,0.0004264854590377079,-0.010478283675798445,-0.009919837595728424,0.010383716389163824,1.005978983997039,1.0056125390154316,NaN,consolidated_two_camp,5,0.8220626578865291,0.8252463355872511,0.854053145059346
composition,0,camp_pair,-0.014837588086396902,-3.43327581423905e-7,-4.1567693196237296e-7,-0.0003091736080978458,-0.000266203578722507,0.0004080994454021391,0.0,0.00010405565652094051,-0.010478283675798445,-0.009919837595728424,0.010383716389163824,1.00576427201855,1.0056125390154316,1.00576427201855,consolidated_two_camp,5,0.8220626578865291,0.8252463355872511,0.854053145059346
exposure,1,camp_pair,0.00222546420262848,4.738760732126312e-8,5.623551328216708e-8,-0.00551913905661445,-0.005418906712662789,0.005178249796969231,0.0,-0.00003529335996414751,-0.012699120450063857,-0.011792439549008696,0.012479579502979501,1.0104021163466068,1.0072081310471765,NaN,consolidated_two_camp,5,0.8220626578865291,0.8252463355872511,0.854053145059346
engagement,1,camp_pair,0.003091079390735718,6.957659510513242e-8,8.421641757671421e-8,0.00001515952029269678,-0.00001912534645324808,-0.00001343316327297693,0.0,-0.000022412462487061968,-0.012699120450063857,-0.011792439549008696,0.012479579502979501,1.0071653289036289,1.0072081310471765,NaN,consolidated_two_camp,5,0.8220626578865291,0.8252463355872511,0.854053145059346
composition,1,camp_pair,-0.014568887977547185,-3.2689855672464346e-7,-3.9649706013355064e-7,-0.0003119807240485207,-0.0003380186803496107,0.00031901005150828873,0.0,6.906317502462789e-6,-0.012699120450063857,-0.011792439549008696,0.012479579502979501,1.0073442062978135,1.0072081310471765,1.0073442062978135,consolidated_two_camp,5,0.8220626578865291,0.8252463355872511,0.854053145059346
